Time	TempSupPrim						
0	291.8417438						
10800	291.731215						
21600	291.65						
32400	291.65						
43200	291.65						
54000	291.65						
64800	291.6291519						
75600	291.5499996						
86400	291.5063862						
97200	291.4499992						
108000	291.4499992						
118800	291.5350463						
129600	291.7674012						
140400	292.0111146						
151200	292.1291756						
162000	292.1358992						
172800	292.0374905						
183600	291.9190026						
194400	291.8491399						
205200	291.8767487						
216000	292.1270114						
226800	292.2837911						
237600	292.1802879						
248400	292.0269005						
259200	291.9571318						
270000	291.9781491						
280800	291.9418699						
291600	292.0305611						
302400	279.3282171						
313200	282.3059943						
324000	285.6141469						
334800	287.6626619						
345600	288.9603175						
356400	289.7810121						
367200	290.2850828						
378000	290.6825868						
388800	291.0846982						
399600	284.6085015						
410400	284.9167147						
421200	287.1928263						
432000	288.6560258						
442800	289.5267794						
453600	290.0126444						
464400	290.4090942						
475200	290.8727109						
486000	291.3062997						
496800	291.571377						
507600	291.6499278						
518400	291.5980228						
529200	291.5175768						
540000	291.4091629						
550800	291.363219						
561600	291.5162128						
572400	291.7138851						
583200	291.8179143						
594000	291.8500008						
604800	291.8500008						
615600	291.8500008						
626400	291.7764074						
637200	291.7500004						
648000	291.7802599						
658800	291.8500008						
669600	291.7456213						
680400	291.6019479						
691200	291.4690058						
702000	291.3237416						
712800	291.249712						
723600	291.2368159						
734400	291.325505						
745200	291.3427228						
756000	290.1850826						
766800	289.6944842						
777600	289.3381516						
788400	289.300649						
799200	289.4821603						
810000	289.6776505						
820800	289.9376162						
831600	289.1909741						
842400	288.7248924						
853200	288.4042591						
864000	288.308411						
874800	288.5697707						
885600	288.8494987						
896400	289.1306034						
907200	289.4650929						
918000	289.8111033						
928800	290.0339794						
939600	290.1445559						
950400	290.0619796						
961200	289.9824994						
972000	289.8703007						
982800	289.8674106						
993600	290.0002503						
1004400	290.1321633						
1015200	290.15						
1026000	290.1079511						
1036800	290.0499996						
1047600	289.9615322						
1058400	289.9375802						
1069200	289.935919						
1080000	290.0036685						
1090800	290.0499996						
1101600	290.0499996						
1112400	290.0499996						
1123200	290.0499996						
1134000	290.0499996						
1144800	290.0707314						
1155600	290.1738874						
1166400	290.3648202						
1177200	289.7669729						
1188000	289.3797604						
1198800	289.2283748						
1209600	289.1497882						
1220400	289.510593						
1231200	289.7997174						
1242000	290.0843902						
1252800	290.4397884						
1263600	290.7780259						
1274400	290.9800841						
1285200	291.0824856						
1296000	291.15						
1306800	291.1497881						
1317600	291.062871						
1328400	290.9260593						
1339200	290.6809761						
1350000	290.7486595						
1360800	290.7613866						
1371600	290.7500004						
1382400	290.7318634						
1393200	290.6295759						
1404000	290.5499996						
1414800	290.5611347						
1425600	290.7091393						
1436400	290.8336409						
1447200	290.8053629						
1458000	290.7254426						
1468800	290.6484419						
1479600	290.5586922						
1490400	290.5499996						
1501200	290.5499996						
1512000	290.615014						
1522800	290.7500004						
1533600	290.7403184						
1544400	290.6118373						
1555200	290.5184317						
1566000	290.4197803						
1576800	290.3024017						
1587600	290.2757955						
1598400	290.5156049						
1609200	290.7687019						
1620000	290.7964317						
1630800	290.7039606						
1641600	290.5490809						
1652400	290.3846075						
1663200	290.2790965						
1674000	290.2500004						
1684800	290.4137199						
1695600	290.574028						
1706400	290.560247						
1717200	290.4181495						
1728000	290.2712575						
1738800	290.145265						
1749600	289.8979183						
1760400	289.6549505						
1771200	289.4355122						
1782000	289.2212776						
1792800	289.0314002						
1803600	288.8146893						
1814400	288.7500004						
1825200	288.7500004						
1836000	288.782133						
1846800	288.8827891						
1857600	289.0937499						
1868400	289.396206						
1879200	289.5085769						
1890000	289.6104601						
1900800	289.6846557						
1911600	289.7500004						
1922400	289.7500004						
1933200	289.7500004						
1944000	289.8815609						
1954800	289.9499992						
1965600	289.9499992						
1976400	289.9075669						
1987200	289.8475352						
1998000	289.7507969						
2008800	289.6911298						
2019600	289.7461514						
2030400	289.865336						
2041200	289.9499992						
2052000	289.9502044						
2062800	289.9183291						
2073600	289.8421321						
2084400	289.7344417						
2095200	289.6389685						
2106000	289.6033806						
2116800	289.7104734						
2127600	289.7633914						
2138400	289.822715						
2149200	289.7500004						
2160000	289.7500004						
2170800	289.7500004						
2181600	289.7077497						
2192400	289.6590845						
2203200	289.6661018						
2214000	289.660433						
2224800	289.6113426						
2235600	289.6018726						
2246400	289.5424217						
2257200	289.5222571						
2268000	289.4474461						
2278800	289.4426443						
2289600	289.4080211						
2300400	289.3407099						
2311200	289.3285014						
2322000	289.3388109						
2332800	289.2670338						
2343600	289.2458337						
2354400	289.2396677						
2365200	289.207224						
2376000	289.2516977						
2386800	289.3236029						
2397600	289.3003887						
2408400	289.2477357						
2419200	289.249081						
2430000	289.1700849						
2440800	289.15						
2451600	289.1490092						
2462400	289.1071734						
2473200	289.0837577						
2484000	289.04759						
2494800	289.0497159						
2505600	289.044558						
2516400	288.9507803						
2527200	288.9287987						
2538000	288.8680774						
2548800	288.8975269						
2559600	288.9639107						
2570400	288.9988951						
2581200	288.9492206						
2592000	288.8866737						
2602800	288.8498581						
2613600	288.7572241						
2624400	288.7004362						
2635200	288.7756896						
2646000	288.9142389						
2656800	288.9639333						
2667600	288.9175833						
2678400	288.8493495						
2689200	288.8496372						
2700000	288.8489868						
2710800	288.7991893						
2721600	288.8987771						
2732400	288.9802472						
2743200	288.7954794						
2754000	288.6391763						
2764800	288.5267187						
2775600	288.5468045						
2786400	288.5320964						
2797200	288.3900483						
2808000	288.3744317						
2818800	288.3115819						
2829600	288.1793786						
2840400	288.044318						
2851200	287.9370057						
2862000	287.8573445						
2872800	287.7886365						
2883600	287.774294						
2894400	287.8085228						
2905200	287.7206217						
2916000	287.6533898						
2926800	287.6556818						
2937600	287.65						
2948400	287.6045453						
2959200	287.563559						
2970000	287.5754234						
2980800	287.7727273						
2991600	288.0933691						
3002400	287.9879746						
3013200	287.9879746						
3024000	287.9879746						
3034800	287.9879746						
3045600	287.9879746						
3056400	287.8916666						
3067200	288.0095374						
3078000	288.0346818						
3088800	287.9695966						
3099600	288.1153178						
3110400	288.1520231						
3121200	288.2462213						
3132000	288.3208092						
3142800	288.4010086						
3153600	288.5647397						
3164400	286.6965318						
3175200	288.6395953						
3186000	288.5109825						
3196800	288.4471183						
3207600	288.3800577						
3218400	288.3575143						
3229200	288.4413296						
3240000	288.6104045						
3250800	288.6502882						
3261600	288.7777459						
3272400	288.8499998						
3283200	288.7199424						
3294000	288.6057802						
3304800	288.5188759						
3315600	288.538235						
3326400	288.3599136						
3337200	288.3650288						
3348000	288.3257225						
3358800	288.1982661						
3369600	288.0921963						
3380400	288.003314						
3391200	287.9271677						
3402000	287.8705201						
3412800	287.851734						
3423600	287.8361271						
3434400	287.7831414						
3445200	287.7765898						
3456000	287.7546245						
3466800	287.6763007						
3477600	287.5742772						
3488400	287.465562						
3499200	287.3832369						
3510000	287.2959539						
3520800	287.227746						
3531600	287.1855493						
3542400	287.1756485						
3553200	287.1106935						
3564000	287.1245664						
3574800	287.2910406						
3585600	287.4234105						
3596400	287.5082131						
3607200	287.4450867						
3618000	287.3390173						
3628800	287.3552022						
3639600	287.384682						
3650400	287.4309798						
3661200	287.6265895						
3672000	287.7345482						
3682800	287.9982658						
3693600	288.3170521						
3704400	288.5713871						
3715200	288.7180118						
3726000	288.8037573						
3736800	288.8499998						
3747600	289.0332369						
3758400	289.3335262						
3769200	289.5412532						
3780000	289.4802588						
3790800	289.3494227						
3801600	289.2566478						
3812400	289.2424859						
3823200	289.2194527						
3834000	289.2667634						
3844800	289.5072249						
3855600	289.2639944						
3866400	289.0398842						
3877200	288.8476879						
3888000	288.5834293						
3898800	288.3789017						
3909600	288.1997111						
3920400	288.1410404						
3931200	288.0657267						
3942000	288.0116278						
3952800	287.8881503						
3963600	287.7245666						
3974400	287.6205201						
3985200	287.6491329						
3996000	287.6485591						
4006800	287.8219655						
4017600	288.1398844						
4028400	288.4910404						
4039200	288.7543353						
4050000	288.9369943						
4060800	289.0499996						
4071600	289.1052021						
4082400	289.134971						
4093200	289.0499996						
4104000	289.1202311						
4114800	289.15						
4125600	289.0505777						
4136400	288.9413296						
4147200	288.8248554						
4158000	288.6861273						
4168800	288.587283						
4179600	281.7384726						
4190400	283.2924855						
4201200	284.483526						
4212000	282.3855491						
4222800	283.8413295						
4233600	285.0119597						
4244400	286.0104046						
4255200	286.6339285						
4266000	287.3166667						
4276800	287.1505763						
4287600	286.2506173						
4298400	286.9869942						
4309200	287.3479827						
4320000	287.9309249						
4330800	288.5898844						
4341600	289.2349711						
4352400	284.5982557						
4363200	283.4044668						
4374000	284.6396254						
4384800	285.3257925						
4395600	285.7021615						
4406400	285.843948						
4417200	285.9961094						
4428000	286.2916928						
4438800	279.1433718						
4449600	279.7445245						
4460400	280.8269453						
4471200	282.7886167						
4482000	284.079683						
4492800	284.9928161						
4503600	285.6399135						
4514400	286.1399136						
4525200	286.5981268						
4536000	286.9811238						
4546800	287.2543229						
4557600	287.3499998						
4568400	287.3505762						
4579200	287.2946687						
4590000	287.2353029						
4600800	287.1992797						
4611600	287.1425287						
4622400	287.1318443						
4633200	287.1404899						
4644000	287.0825646						
4654800	286.9883285						
4665600	286.9396255						
4676400	286.8499998						
4687200	286.8499998						
4698000	286.8499998						
4708800	286.8499998						
4719600	286.8499998						
4730400	286.8499998						
4741200	286.8727665						
4752000	286.9500002						
4762800	286.949712						
4773600	287.0312679						
4784400	287.329539						
4795200	287.611095						
4806000	287.7969742						
4816800	287.9344382						
4827600	288.0456769						
4838400	288.1306916						
4849200	288.15						
4860000	288.170173						
4870800	288.2756486						
4881600	288.3649855						
4892400	288.4500002						
4903200	288.4500002						
4914000	288.4500002						
4924800	288.3603447						
4935600	288.2989915						
4946400	288.2500004						
4957200	288.2500004						
4968000	288.3289017						
4978800	288.3182081						
4989600	288.2505767						
5000400	288.2061962						
5011200	288.15						
5022000	288.15						
5032800	288.15						
5043600	288.15						
5054400	288.2788185						
5065200	288.4233334						
5076000	288.4500002						
5086800	288.4500002						
5097600	288.4500002						
5108400	288.4500002						
5119200	288.4500002						
5130000	288.4500002						
5140800	288.4500002						
5151600	288.4500002						
5162400	288.4500002						
5173200	288.4500002						
5184000	288.4500002						
5194800	288.4500002						
5205600	288.4049133						
5216400	288.3499998						
5227200	288.367919						
5238000	288.4286745						
5248800	288.3499998						
5259600	288.3499998						
5270400	288.3499998						
5281200	288.3499998						
5292000	288.285735						
5302800	288.2500004						
5313600	288.2995678						
5324400	288.3745664						
5335200	288.5044667						
5346000	288.6517291						
5356800	288.7670523						
5367600	288.8499998						
5378400	288.8499998						
5389200	288.8499998						
5400000	288.8499998						
5410800	288.7953758						
5421600	288.6917869						
5432400	288.5860228						
5443200	288.4606938						
5454000	288.3819884						
5464800	288.3499998						
5475600	288.3223343						
5486400	288.3488471						
5497200	288.3499998						
5508000	288.3499998						
5518800	288.3499998						
5529600	288.3034683						
5540400	288.2672913						
5551200	288.2500004						
5562000	288.2635841						
5572800	288.3497116						
5583600	288.3499998						
5594400	288.3499998						
5605200	288.3499998						
5616000	288.3499998						
5626800	288.3499998						
5637600	288.3499998						
5648400	288.3499998						
5659200	288.3499998						
5670000	288.3499998						
5680800	288.3499998						
5691600	288.3499998						
5702400	288.3499998						
5713200	288.3499998						
5724000	288.3773774						
5734800	288.4500002						
5745600	288.4500002						
5756400	288.4500002						
5767200	288.5318441						
5778000	288.6208933						
5788800	288.6921967						
5799600	288.8036024						
5810400	288.8759365						
5821200	288.9765896						
5832000	289.0802591						
5842800	289.15						
5853600	289.15						
5864400	289.1511561						
5875200	289.2321329						
5886000	289.2407784						
5896800	289.1716764						
5907600	289.15						
5918400	289.15						
5929200	289.1427954						
5940000	289.0499996						
5950800	289.0494233						
5961600	289.0499996						
5972400	288.9962427						
5983200	289.0877523						
5994000	289.4404624						
6004800	289.7842942						
6015600	290.1010085						
6026400	290.1083813						
6037200	290.0353022						
6048000	289.9499992						
6058800	289.9053313						
6069600	289.85607						
6080400	289.8404906						
6091200	289.8500008						
6102000	289.923121						
6112800	289.9499992						
6123600	289.921676						
6134400	289.8548998						
6145200	289.8517348						
6156000	289.9194522						
6166800	289.9509309						
6177600	290.055952						
6188400	290.1505797						
6199200	290.2462431						
6210000	290.2563772						
6220800	290.2736999						
6231600	290.2908701						
6242400	290.2731219						
6253200	290.2439134						
6264000	290.2681561						
6274800	290.3001455						
6285600	290.2514455						
6296400	290.194348						
6307200	290.0982657						
6318000	290.0499996						
6328800	289.9821733						
6339600	289.9499992						
6350400	289.9499992						
6361200	289.9497102						
6372000	289.9502891						
6382800	290.0358377						
6393600	290.0497098						
6404400	290.0861269						
6415200	290.1497101						
6426000	290.149711						
6436800	290.2187864						
6447600	290.3421746						
6458400	290.3485557						
6469200	290.2557975						
6480000	290.2500004						
6490800	290.2500004						
6501600	290.2046245						
6512400	290.15						
6523200	290.1497101						
6534000	290.15						
6544800	290.1030433						
6555600	290.0499996						
6566400	290.0332365						
6577200	289.9499992						
6588000	289.9499992						
6598800	289.9499992						
6609600	290.0166662						
6620400	290.0499996						
6631200	290.0499996						
6642000	290.0479765						
6652800	289.9502883						
6663600	289.9334778						
6674400	289.8500008						
6685200	289.8500008						
6696000	289.9312134						
6706800	289.9499992						
6717600	289.9499992						
6728400	289.9378255						
6739200	289.8500008						
6750000	289.8500008						
6760800	289.9130056						
6771600	289.9499992						
6782400	289.9499992						
6793200	289.9499992						
6804000	289.8942197						
6814800	289.8500008						
6825600	289.8485515						
6836400	289.8500008						
6847200	289.8500008						
6858000	289.8500008						
6868800	289.8500008						
6879600	289.8500008						
6890400	289.9224634						
6901200	289.9499992						
6912000	289.9499992						
6922800	289.9499992						
6933600	289.9499992						
6944400	287.6004344						
6955200	286.0127167						
6966000	284.8430435						
6976800	285.5653179						
6987600	286.6566667						
6998400	287.3436416						
7009200	287.8111595						
7020000	288.1274566						
7030800	288.3662319						
7041600	288.5546241						
7052400	288.7182083						
7063200	288.8827536						
7074000	288.9867052						
7084800	289.0499996						
7095600	289.0499996						
7106400	289.0499996						
7117200	289.0810142						
7128000	289.15						
7138800	289.1934784						
7149600	289.2500004						
7160400	289.2500004						
7171200	289.2500004						
7182000	289.2500004						
7192800	289.2453627						
7203600	288.9066474						
7214400	289.3894203						
7225200	289.6225145						
7236000	289.74422						
7246800	289.7500004						
7257600	289.857515						
7268400	289.8757975						
7279200	289.8316333						
7290000	289.7162724						
7300800	289.7711599						
7311600	289.9213869						
7322400	289.8926088						
7333200	289.7606941						
7344000	289.5841038						
7354800	289.296087						
7365600	289.1739885						
7376400	289.4033333						
7387200	289.6011559						
7398000	289.7630439						
7408800	289.5271672						
7419600	289.3827539						
7430400	289.3034688						
7441200	289.2436235						
7452000	289.2838155						
7462800	289.4499992						
7473600	289.5021733						
7484400	289.6945088						
7495200	289.6879712						
7506000	289.4682074						
7516800	289.3826592						
7527600	289.2821744						
7538400	289.2994224						
7549200	289.6285506						
7560000	290.0054911						
7570800	289.8923189						
7581600	289.5057798						
7592400	289.3589601						
7603200	289.2401453						
7614000	289.086127						
7624800	288.9346377						
7635600	288.850867						
7646400	288.746532						
7657200	288.6589855						
7668000	288.5771674						
7678800	288.4871014						
7689600	288.3852601						
7700400	288.3072255						
7711200	288.2421742						
7722000	288.1589596						
7732800	288.1282608						
7743600	288.0809246						
7754400	288.0473985						
7765200	288.0749273						
7776000	288.230347						
7786800	288.4007246						
7797600	288.5713872						
7808400	288.65						
7819200	288.65						
7830000	287.5068702						
7840800	288.3749274						
7851600	288.3815028						
7862400	288.4013044						
7873200	288.399711						
7884000	288.452029						
7894800	288.519942						
7905600	288.6163767						
7916400	288.65						
7927200	288.7919454						
7938000	288.7369946						
7948800	288.6719654						
7959600	288.6494203						
7970400	288.7335261						
7981200	288.8917391						
7992000	288.9878612						
8002800	289.119855						
8013600	289.1257225						
8024400	289.0277454						
8035200	288.9691305						
8046000	288.9502892						
8056800	289.0027535						
8067600	289.0832367						
8078400	289.2485511						
8089200	289.5364159						
8100000	289.7482663						
8110800	289.8488413						
8121600	289.7936422						
8132400	289.7334786						
8143200	289.7245668						
8154000	289.6604047						
8164800	289.7908701						
8175600	289.7297691						
8186400	289.6346376						
8197200	289.5300573						
8208000	289.4071013						
8218800	289.2809253						
8229600	289.1560694						
8240400	289.0201448						
8251200	288.8865217						
8262000	288.7606938						
8272800	288.6002888						
8283600	288.4251445						
8294400	288.2195653						
8305200	288.0315028						
8316000	287.8615607						
8326800	287.7416188						
8337600	287.6739885						
8348400	287.7334786						
8359200	287.8369941						
8370000	287.9170521						
8380800	288.0300575						
8391600	288.0621384						
8402400	288.3115607						
8413200	288.7613044						
8424000	289.19711						
8434800	289.5328983						
8445600	289.8517343						
8456400	289.9682074						
8467200	289.9303464						
8478000	289.6751446						
8488800	289.6644928						
8499600	289.8268793						
8510400	290.0190747						
8521200	290.2228326						
8532000	290.283044						
8542800	290.1609827						
8553600	289.9901728						
8564400	289.9147397						
8575200	289.849421						
8586000	289.8662323						
8596800	289.978197						
8607600	290.0499996						
8618400	290.0221734						
8629200	289.9491322						
8640000	289.9302894						
8650800	289.8734108						
8661600	289.8323195						
8672400	289.7779002						
8683200	289.7415946						
8694000	289.6424855						
8704800	289.5546373						
8715600	289.4595371						
8726400	289.3436238						
8737200	289.2485553						
8748000	289.1566667						
8758800	289.1436416						
8769600	289.0410142						
8780400	288.9945086						
8791200	288.9444929						
8802000	288.8043353						
8812800	288.6960871						
8823600	288.7413298						
8834400	288.6952176						
8845200	288.6768787						
8856000	288.6021737						
8866800	288.518786						
8877600	288.3673912						
8888400	288.2765898						
8899200	288.1688407						
8910000	288.0881501						
8920800	288.1094202						
8931600	288.1329479						
8942400	288.1424855						
8953200	288.1375362						
8964000	288.0690748						
8974800	287.9769565						
8985600	287.8739884						
8996400	287.8234104						
9007200	287.854058						
9018000	287.9638728						
9028800	288.2155073						
9039600	288.2075147						
9050400	288.1830436						
9061200	288.1736995						
9072000	288.0846819						
9082800	287.9873913						
9093600	287.9907515						
9104400	288.2328986						
9115200	288.6442198						
9126000	288.5546377						
9136800	288.2921967						
9147600	288.1881504						
9158400	288.0728983						
9169200	287.9517342						
9180000	287.9282608						
9190800	288.2355491						
9201600	288.2211311						
9212400	288.3914202						
9223200	288.350578						
9234000	288.2827538						
9244800	288.1303468						
9255600	288.0572461						
9266400	288.1537572						
9277200	288.2375363						
9288000	288.633237						
9298800	288.7688406						
9309600	288.4997109						
9320400	288.4557805						
9331200	288.4656523						
9342000	288.4635839						
9352800	288.4763768						
9363600	288.7416184						
9374400	288.898116						
9385200	288.7583818						
9396000	288.9042029						
9406800	288.9604047						
9417600	288.9386957						
9428400	288.9283238						
9439200	288.8921965						
9450000	288.8566665						
9460800	288.8523187						
9471600	288.8739884						
9482400	288.8743477						
9493200	288.8612715						
9504000	288.8328985						
9514800	288.7852603						
9525600	288.740725						
9536400	288.7378264						
9547200	288.6141617						
9558000	288.5102898						
9568800	288.3234104						
9579600	288.3421964						
9590400	288.2186959						
9601200	288.1208091						
9612000	288.1073912						
9622800	288.3503059						
9633600	288.8569364						
9644400	289.2569368						
9655200	288.6511594						
9666000	288.502601						
9676800	288.4955072						
9687600	288.3812138						
9698400	288.3824637						
9709200	288.5702312						
9720000	289.1697102						
9730800	289.3965316						
9741600	288.7572464						
9752400	288.748555						
9763200	288.7659422						
9774000	288.6381502						
9784800	288.5392751						
9795600	288.8234545						
9806400	289.5107252						
9817200	289.9353829						
9828000	289.4331822						
9838800	289.067036						
9849600	288.9836354						
9860400	288.908711						
9871200	288.8966734						
9882000	289.0566464						
9892800	289.3059871						
9903600	289.742564						
9914400	289.4408204						
9925200	289.4014677						
9936000	289.3992188						
9946800	289.4229938						
9957600	289.4484337						
9968400	289.5923527						
9979200	289.9712889						
9990000	290.2627205						
10000800	289.9902338						
10011600	289.9222111						
10022400	290.0109371						
10033200	290.009295						
10044000	290.0060542						
10054800	289.9112523						
10065600	289.8163411						
10076400	289.7599614						
10087200	289.6957927						
10098000	289.6158202						
10108800	289.5629155						
10119600	289.4948135						
10130400	289.4228513						
10141200	289.355274						
10152000	289.34276						
10162800	289.2550785						
10173600	289.1312132						
10184400	289.1416016						
10195200	289.1760275						
10206000	289.1542969						
10216800	289.1439334						
10227600	289.211057						
10238400	289.1501953						
10249200	289.1353228						
10260000	289.0458982						
10270800	289.0053815						
10281600	288.9144531						
10292400	288.9740703						
10303200	289.0484371						
10314000	289.1012718						
10324800	289.2914068						
10335600	289.2411941						
10346400	289.2449123						
10357200	289.2644536						
10368000	289.1993153						
10378800	289.1466797						
10389600	289.1488258						
10400400	289.4265166						
10411200	289.5539163						
10422000	289.7076763						
10432800	290.1639419						
10443600	290.7400085						
10454400	290.6137205						
10465200	290.2122597						
10476000	289.9533442						
10486800	289.849166						
10497600	289.902706						
10508400	289.995158						
10519200	289.9658631						
10530000	289.9426964						
10540800	289.9611933						
10551600	289.9212621						
10562400	289.800125						
10573200	289.6910598						
10584000	289.8413576						
10594800	289.9534329						
10605600	290.1229129						
10616400	290.3979666						
10627200	290.516832						
10638000	290.5501656						
10648800	290.6343983						
10659600	290.7587898						
10670400	290.8862546						
10681200	290.7000447						
10692000	290.4539445						
10702800	290.3554646						
10713600	290.2143986						
10724400	290.0990877						
10735200	289.9823645						
10746000	289.9812857						
10756800	290.0423647						
10767600	290.0494846						
